ENSG00000010379	ENSMUSG00000030108	ENSRNOG00000012876	ENSOCUG00000000003	ENSCPOG00000013744	ENSSTOG00000000918	ENSMLUG00000000435	ENSPVAG00000004771	ENSECAG00000013410	ENSCAFG00000015769	ENSMICG00000007883	ENSOGAG00000000310	ENSGGOG00000004892
ENSG00000181856	ENSMUSG00000018566	ENSRNOG00000017226	ENSOCUG00000015240	ENSCPOG00000009531	ENSSTOG00000008616	ENSMLUG00000004672	ENSPVAG00000005048	ENSECAG00000007684	ENSCAFG00000016126	ENSMICG00000012447	ENSOGAG00000004391	ENSGGOG00000007389
ENSG00000145715	ENSMUSG00000021549	ENSRNOG00000029185	ENSOCUG00000004646	ENSCPOG00000007883	ENSSTOG00000000649	ENSMLUG00000011486	ENSPVAG00000001105	ENSECAG00000005203	ENSCAFG00000008410	ENSMICG00000009491	ENSOGAG00000000055	ENSGGOG00000001591
ENSG00000176170	ENSMUSG00000061878	ENSRNOG00000010626	ENSOCUG00000006579	ENSCPOG00000012191	ENSSTOG00000021818	ENSMLUG00000009028	ENSPVAG00000008501	ENSECAG00000023642	ENSCAFG00000005073	ENSMICG00000013341	ENSOGAG00000028242	ENSGGOG00000016884
ENSG00000141569	ENSMUSG00000054517	ENSRNOG00000024145	ENSOCUG00000010329	ENSCPOG00000015130	ENSSTOG00000013392	ENSMLUG00000006291	ENSPVAG00000008466	ENSECAG00000020931	ENSCAFG00000025460	ENSMICG00000007665	ENSOGAG00000001937	ENSGGOG00000010533
ENSG00000131023	ENSMUSG00000040021	ENSRNOG00000014916	ENSOCUG00000016667	ENSCPOG00000003577	ENSSTOG00000013443	ENSMLUG00000002070	ENSPVAG00000000750	ENSECAG00000000891	ENSCAFG00000000387	ENSMICG00000006305	ENSOGAG00000012508	ENSGGOG00000000545
ENSG00000121690	ENSMUSG00000027173	ENSRNOG00000012262	ENSOCUG00000015398	ENSCPOG00000014540	ENSSTOG00000013289	ENSMLUG00000003052	ENSPVAG00000002346	ENSECAG00000001667	ENSCAFG00000007308	ENSMICG00000004770	ENSOGAG00000009992	ENSGGOG00000024043
ENSG00000107789	ENSMUSG00000024896	ENSRNOG00000011287	ENSOCUG00000002908	ENSCPOG00000004451	ENSSTOG00000022903	ENSMLUG00000015941	ENSPVAG00000005259	ENSECAG00000012951	ENSCAFG00000028821	ENSMICG00000004585	ENSOGAG00000015159	ENSGGOG00000007426
ENSG00000014123	ENSMUSG00000040359	ENSRNOG00000007831	ENSOCUG00000002084	ENSCPOG00000006956	ENSSTOG00000004570	ENSMLUG00000012197	ENSPVAG00000002878	ENSECAG00000014582	ENSCAFG00000003430	ENSMICG00000009169	ENSOGAG00000004124	ENSGGOG00000013798
ENSG00000204316	ENSMUSG00000020775	ENSRNOG00000008256	ENSOCUG00000010611	ENSCPOG00000025936	ENSSTOG00000013400	ENSMLUG00000006296	ENSPVAG00000008468	ENSECAG00000014569	ENSCAFG00000004960	ENSMICG00000007669	ENSOGAG00000001939	ENSGGOG00000013193
ENSG00000006047	ENSMUSG00000018554	ENSRNOG00000017117	ENSOCUG00000015064	ENSCPOG00000009543	ENSSTOG00000008630	ENSMLUG00000004686	ENSPVAG00000005050	ENSECAG00000009996	ENSCAFG00000016128	ENSMICG00000012453	ENSOGAG00000004392	ENSGGOG00000007399
ENSG00000180815	ENSMUSG00000031303	ENSRNOG00000025290	ENSOCUG00000014758	ENSCPOG00000011102	ENSSTOG00000027298	ENSMLUG00000012936	ENSPVAG00000005426	ENSECAG00000022251	ENSCAFG00000013057	ENSMICG00000004080	ENSOGAG00000002467	ENSGGOG00000008317
ENSG00000074755	ENSMUSG00000055670	ENSRNOG00000024535	ENSOCUG00000014819	ENSCPOG00000007452	ENSSTOG00000015723	ENSMLUG00000003340	ENSPVAG00000000451	ENSECAG00000017550	ENSCAFG00000015219	ENSMICG00000015860	ENSOGAG00000008822	ENSGGOG00000002015
ENSG00000107816	ENSMUSG00000035342	ENSRNOG00000014969	ENSOCUG00000021502	ENSCPOG00000000951	ENSSTOG00000015232	ENSMLUG00000013698	ENSPVAG00000001722	ENSECAG00000013288	ENSCAFG00000009760	ENSMICG00000000016	ENSOGAG00000012873	ENSGGOG00000015430
ENSG00000176148	ENSMUSG00000027175	ENSRNOG00000023853	ENSOCUG00000015409	ENSCPOG00000019920	ENSSTOG00000013296	ENSMLUG00000003062	ENSPVAG00000002347	ENSECAG00000023796	ENSCAFG00000007298	ENSMICG00000004776	ENSOGAG00000003835	ENSGGOG00000005771
ENSG00000175931	ENSMUSG00000020802	ENSRNOG00000011007	ENSOCUG00000014518	ENSCPOG00000012196	ENSSTOG00000028690	ENSMLUG00000014091	ENSPVAG00000008503	ENSECAG00000007206	ENSCAFG00000005078	ENSMICG00000013365	ENSOGAG00000033171	ENSGGOG00000016893
ENSG00000143224	ENSMUSG00000062729	ENSRNOG00000003567	ENSOCUG00000002403	ENSCPOG00000015323	ENSSTOG00000006432	ENSMLUG00000004549	ENSPVAG00000005526	ENSECAG00000010946	ENSCAFG00000012811	ENSMICG00000007258	ENSOGAG00000010055	ENSGGOG00000028090
ENSG00000198682	ENSMUSG00000024899	ENSRNOG00000011068	ENSOCUG00000012078	ENSCPOG00000003031	ENSSTOG00000006536	ENSMLUG00000002781	ENSPVAG00000014019	ENSECAG00000008426	ENSCAFG00000015654	ENSMICG00000003328	ENSOGAG00000014044	ENSGGOG00000005369
ENSG00000186862	ENSMUSG00000074818	ENSRNOG00000032946	ENSOCUG00000006651	ENSCPOG00000000952	ENSSTOG00000009046	ENSMLUG00000013703	ENSPVAG00000001724	ENSECAG00000012183	ENSCAFG00000009763	ENSMICG00000000017	ENSOGAG00000012875	ENSGGOG00000015436
ENSG00000143578	ENSMUSG00000027938	ENSRNOG00000023493	ENSOCUG00000011784	ENSCPOG00000012896	ENSSTOG00000014516	ENSMLUG00000013291	ENSPVAG00000011092	ENSECAG00000017552	ENSCAFG00000017395	ENSMICG00000010316	ENSOGAG00000016958	ENSGGOG00000005601
ENSG00000171657	ENSMUSG00000047678	ENSRNOG00000039762	ENSOCUG00000003218	ENSCPOG00000010867	ENSSTOG00000028760	ENSMLUG00000003016	ENSPVAG00000009251	ENSECAG00000003381	ENSCAFG00000014406	ENSMICG00000000279	ENSOGAG00000025574	ENSGGOG00000003785
ENSG00000189221	ENSMUSG00000025037	ENSRNOG00000002848	ENSOCUG00000001429	ENSCPOG00000001030	ENSSTOG00000004958	ENSMLUG00000001427	ENSPVAG00000011223	ENSECAG00000022277	ENSCAFG00000014435	ENSMICG00000002042	ENSOGAG00000028267	ENSGGOG00000008930
ENSG00000157379	ENSMUSG00000002332	ENSRNOG00000020264	ENSOCUG00000002942	ENSCPOG00000014404	ENSSTOG00000002399	ENSMLUG00000011611	ENSPVAG00000007031	ENSECAG00000021432	ENSCAFG00000032262	ENSMICG00000001760	ENSOGAG00000010663	ENSGGOG00000004685
ENSG00000172331	ENSMUSG00000038871	ENSRNOG00000010133	ENSOCUG00000003144	ENSCPOG00000000423	ENSSTOG00000021755	ENSMLUG00000009875	ENSPVAG00000014407	ENSECAG00000000655	ENSCAFG00000003165	ENSMICG00000014530	ENSOGAG00000004326	ENSGGOG00000007525
ENSG00000109686	ENSMUSG00000028082	ENSRNOG00000011752	ENSOCUG00000007014	ENSCPOG00000008883	ENSSTOG00000009638	ENSMLUG00000001478	ENSPVAG00000015408	ENSECAG00000007542	ENSCAFG00000008019	ENSMICG00000004926	ENSOGAG00000012447	ENSGGOG00000010733
ENSG00000138138	ENSMUSG00000013662	ENSRNOG00000010861	ENSOCUG00000012082	ENSCPOG00000003038	ENSSTOG00000006563	ENSMLUG00000002793	ENSPVAG00000014020	ENSECAG00000000473	ENSCAFG00000015667	ENSMICG00000003338	ENSOGAG00000029770	ENSGGOG00000026651
ENSG00000185000	ENSMUSG00000022555	ENSRNOG00000028711	ENSOCUG00000012931	ENSCPOG00000005433	ENSSTOG00000027031	ENSMLUG00000002332	ENSPVAG00000009271	ENSECAG00000014868	ENSCAFG00000024926	ENSMICG00000015727	ENSOGAG00000025958	ENSGGOG00000028476
ENSG00000122786	ENSMUSG00000029761	ENSRNOG00000010233	ENSOCUG00000008127	ENSCPOG00000023504	ENSSTOG00000027385	ENSMLUG00000024473	ENSPVAG00000005261	ENSECAG00000006844	ENSCAFG00000003169	ENSMICG00000014537	ENSOGAG00000027315	ENSGGOG00000009728
ENSG00000107819	ENSMUSG00000025212	ENSRNOG00000015442	ENSOCUG00000002751	ENSCPOG00000000955	ENSSTOG00000026614	ENSMLUG00000025265	ENSPVAG00000001725	ENSECAG00000019285	ENSCAFG00000009815	ENSMICG00000000018	ENSOGAG00000012881	ENSGGOG00000015442
ENSG00000188878	ENSMUSG00000020776	ENSRNOG00000008577	ENSOCUG00000021011	ENSCPOG00000015133	ENSSTOG00000013411	ENSMLUG00000001196	ENSPVAG00000008471	ENSECAG00000024863	ENSCAFG00000004968	ENSMICG00000007674	ENSOGAG00000001940	ENSGGOG00000012586
ENSG00000138101	ENSMUSG00000071454	ENSRNOG00000011914	ENSOCUG00000001249	ENSCPOG00000004733	ENSSTOG00000015511	ENSMLUG00000014167	ENSPVAG00000014373	ENSECAG00000014987	ENSCAFG00000004223	ENSMICG00000001238	ENSOGAG00000007002	ENSGGOG00000007679
ENSG00000166689	ENSMUSG00000045659	ENSRNOG00000024602	ENSOCUG00000017373	ENSCPOG00000006974	ENSSTOG00000001423	ENSMLUG00000001591	ENSPVAG00000012804	ENSECAG00000011848	ENSCAFG00000008664	ENSMICG00000003710	ENSOGAG00000013719	ENSGGOG00000006435
ENSG00000129667	ENSMUSG00000020806	ENSRNOG00000011459	ENSOCUG00000014540	ENSCPOG00000009889	ENSSTOG00000013560	ENSMLUG00000002021	ENSPVAG00000008507	ENSECAG00000021951	ENSCAFG00000005097	ENSMICG00000013408	ENSOGAG00000000681	ENSGGOG00000015475
ENSG00000143553	ENSMUSG00000001018	ENSRNOG00000013356	ENSOCUG00000005425	ENSCPOG00000005832	ENSSTOG00000000661	ENSMLUG00000001841	ENSPVAG00000011076	ENSECAG00000020426	ENSCAFG00000017533	ENSMICG00000013723	ENSOGAG00000006068	ENSGGOG00000001813
ENSG00000166343	ENSMUSG00000021815	ENSRNOG00000007632	ENSOCUG00000005860	ENSCPOG00000020857	ENSSTOG00000007033	ENSMLUG00000012719	ENSPVAG00000013002	ENSECAG00000007730	ENSCAFG00000029612	ENSMICG00000013236	ENSOGAG00000002172	ENSGGOG00000022616
ENSG00000184481	ENSMUSG00000042903	ENSRNOG00000033316	ENSOCUG00000027545	ENSCPOG00000004771	ENSSTOG00000014587	ENSMLUG00000029037	ENSPVAG00000016489	ENSECAG00000015262	ENSCAFG00000016925	ENSMICG00000013973	ENSOGAG00000025297	ENSGGOG00000001812
ENSG00000167740	ENSMUSG00000057778	ENSRNOG00000024553	ENSOCUG00000021372	ENSCPOG00000007427	ENSSTOG00000014501	ENSMLUG00000006950	ENSPVAG00000000455	ENSECAG00000021694	ENSCAFG00000015227	ENSMICG00000015929	ENSOGAG00000004724	ENSGGOG00000002027
ENSG00000144857	ENSMUSG00000022687	ENSRNOG00000002041	ENSOCUG00000010827	ENSCPOG00000025941	ENSSTOG00000003962	ENSMLUG00000022664	ENSPVAG00000015969	ENSECAG00000022602	ENSCAFG00000010582	ENSMICG00000013314	ENSOGAG00000011767	ENSGGOG00000005957
ENSG00000185722	ENSMUSG00000020790	ENSRNOG00000016212	ENSOCUG00000014843	ENSCPOG00000006650	ENSSTOG00000015739	ENSMLUG00000006963	ENSPVAG00000000457	ENSECAG00000021771	ENSCAFG00000015231	ENSMICG00000015936	ENSOGAG00000008786	ENSGGOG00000002030
ENSG00000196943	ENSMUSG00000019297	ENSRNOG00000020321	ENSOCUG00000002948	ENSCPOG00000014406	ENSSTOG00000002408	ENSMLUG00000014806	ENSPVAG00000007033	ENSECAG00000024171	ENSCAFG00000012213	ENSMICG00000001764	ENSOGAG00000010664	ENSGGOG00000004689
ENSG00000146007	ENSMUSG00000001383	ENSRNOG00000016016	ENSOCUG00000004255	ENSCPOG00000009214	ENSSTOG00000002025	ENSMLUG00000017525	ENSPVAG00000009717	ENSECAG00000014412	ENSCAFG00000005907	ENSMICG00000014116	ENSOGAG00000002054	ENSGGOG00000005121
ENSG00000122861	ENSMUSG00000021822	ENSRNOG00000010516	ENSOCUG00000003155	ENSCPOG00000000920	ENSSTOG00000010465	ENSMLUG00000012801	ENSPVAG00000014248	ENSECAG00000007351	ENSCAFG00000015190	ENSMICG00000008071	ENSOGAG00000017210	ENSGGOG00000015266
ENSG00000188158	ENSMUSG00000059493	ENSRNOG00000030759	ENSOCUG00000013436	ENSCPOG00000020088	ENSSTOG00000026685	ENSMLUG00000015408	ENSPVAG00000009187	ENSECAG00000020766	ENSCAFG00000012783	ENSMICG00000016665	ENSOGAG00000017089	ENSGGOG00000000704
ENSG00000161544	ENSMUSG00000020810	ENSRNOG00000011541	ENSOCUG00000007190	ENSCPOG00000023203	ENSSTOG00000006499	ENSMLUG00000016568	ENSPVAG00000015423	ENSECAG00000019275	ENSCAFG00000005112	ENSMICG00000013429	ENSOGAG00000034659	ENSGGOG00000001385
ENSG00000009780	ENSMUSG00000028878	ENSRNOG00000011254	ENSOCUG00000014830	ENSCPOG00000006186	ENSSTOG00000004331	ENSMLUG00000000136	ENSPVAG00000001444	ENSECAG00000019350	ENSCAFG00000029112	ENSMICG00000011046	ENSOGAG00000015566	ENSGGOG00000006690
ENSG00000143545	ENSMUSG00000027935	ENSRNOG00000016733	ENSOCUG00000006286	ENSCPOG00000011491	ENSSTOG00000011222	ENSMLUG00000017186	ENSPVAG00000011095	ENSECAG00000016551	ENSCAFG00000017389	ENSMICG00000010340	ENSOGAG00000016969	ENSGGOG00000023693
ENSG00000164142	ENSMUSG00000051000	ENSRNOG00000032816	ENSOCUG00000002636	ENSCPOG00000005019	ENSSTOG00000026038	ENSMLUG00000008164	ENSPVAG00000006889	ENSECAG00000007395	ENSCAFG00000008071	ENSMICG00000004307	ENSOGAG00000032830	ENSGGOG00000016578
ENSG00000107821	ENSMUSG00000025213	ENSRNOG00000016058	ENSOCUG00000002974	ENSCPOG00000015270	ENSSTOG00000015240	ENSMLUG00000013713	ENSPVAG00000001726	ENSECAG00000013608	ENSCAFG00000029130	ENSMICG00000000019	ENSOGAG00000011722	ENSGGOG00000004516
ENSG00000161533	ENSMUSG00000020777	ENSRNOG00000008755	ENSOCUG00000012924	ENSCPOG00000015141	ENSSTOG00000013437	ENSMLUG00000001210	ENSPVAG00000008477	ENSECAG00000022905	ENSCAFG00000004989	ENSMICG00000007689	ENSOGAG00000001941	ENSGGOG00000004590
ENSG00000120256	ENSMUSG00000019796	ENSRNOG00000014303	ENSOCUG00000000502	ENSCPOG00000009348	ENSSTOG00000000512	ENSMLUG00000002390	ENSPVAG00000000755	ENSECAG00000026818	ENSCAFG00000000398	ENSMICG00000006322	ENSOGAG00000012521	ENSGGOG00000024974
ENSG00000035403	ENSMUSG00000021823	ENSRNOG00000010765	ENSOCUG00000003163	ENSCPOG00000005058	ENSSTOG00000012867	ENSMLUG00000009809	ENSPVAG00000013520	ENSECAG00000013481	ENSCAFG00000015254	ENSMICG00000011725	ENSOGAG00000016697	ENSGGOG00000011101
ENSG00000173681	ENSMUSG00000044150	ENSRNOG00000005135	ENSOCUG00000015294	ENSCPOG00000008695	ENSSTOG00000020416	ENSMLUG00000012956	ENSPVAG00000003683	ENSECAG00000024666	ENSCAFG00000013092	ENSMICG00000004101	ENSOGAG00000008168	ENSGGOG00000009453
ENSG00000011405	ENSMUSG00000030660	ENSRNOG00000020479	ENSOCUG00000005541	ENSCPOG00000000024	ENSSTOG00000009188	ENSMLUG00000007089	ENSPVAG00000012807	ENSECAG00000014963	ENSCAFG00000031546	ENSMICG00000003718	ENSOGAG00000002129	ENSGGOG00000011040
ENSG00000131831	ENSMUSG00000043518	ENSRNOG00000006670	ENSOCUG00000026517	ENSCPOG00000015535	ENSSTOG00000029110	ENSMLUG00000015416	ENSPVAG00000006518	ENSECAG00000006060	ENSCAFG00000012787	ENSMICG00000005981	ENSOGAG00000017095	ENSGGOG00000015118
ENSG00000184634	ENSMUSG00000079487	ENSRNOG00000003848	ENSOCUG00000006797	ENSCPOG00000000903	ENSSTOG00000015847	ENSMLUG00000006933	ENSPVAG00000016492	ENSECAG00000023931	ENSCAFG00000016972	ENSMICG00000014009	ENSOGAG00000008978	ENSGGOG00000009289
ENSG00000059691	ENSMUSG00000028085	ENSRNOG00000037655	ENSOCUG00000016875	ENSCPOG00000005023	ENSSTOG00000005689	ENSMLUG00000008194	ENSPVAG00000006891	ENSECAG00000003539	ENSCAFG00000008088	ENSMICG00000004311	ENSOGAG00000014181	ENSGGOG00000011099
ENSG00000070526	ENSMUSG00000009588	ENSRNOG00000000251	ENSOCUG00000025291	ENSCPOG00000002420	ENSSTOG00000027866	ENSMLUG00000009671	ENSPVAG00000014257	ENSECAG00000010215	ENSCAFG00000005132	ENSMICG00000016915	ENSOGAG00000001559	ENSGGOG00000000010
ENSG00000184368	ENSMUSG00000041020	ENSRNOG00000005176	ENSOCUG00000016736	ENSCPOG00000008706	ENSSTOG00000013888	ENSMLUG00000012967	ENSPVAG00000003519	ENSECAG00000000072	ENSCAFG00000013101	ENSMICG00000004105	ENSOGAG00000008176	ENSGGOG00000007760
ENSG00000107807	ENSMUSG00000025215	ENSRNOG00000016120	ENSOCUG00000013136	ENSCPOG00000003194	ENSSTOG00000023842	ENSMLUG00000013736	ENSPVAG00000001727	ENSECAG00000013342	ENSCAFG00000009833	ENSMICG00000000020	ENSOGAG00000013614	ENSGGOG00000005880
ENSG00000129467	ENSMUSG00000022220	ENSRNOG00000020401	ENSOCUG00000002958	ENSCPOG00000014412	ENSSTOG00000002428	ENSMLUG00000014814	ENSPVAG00000007040	ENSECAG00000013004	ENSCAFG00000012293	ENSMICG00000001771	ENSOGAG00000006079	ENSGGOG00000004700
ENSG00000070081	ENSMUSG00000030659	ENSRNOG00000020456	ENSOCUG00000005131	ENSCPOG00000023342	ENSSTOG00000001896	ENSMLUG00000004101	ENSPVAG00000012810	ENSECAG00000016586	ENSCAFG00000008713	ENSMICG00000005512	ENSOGAG00000006094	ENSGGOG00000005914
ENSG00000105875	ENSMUSG00000058486	ENSRNOG00000010421	ENSOCUG00000014199	ENSCPOG00000014958	ENSSTOG00000003883	ENSMLUG00000008948	ENSPVAG00000006356	ENSECAG00000009789	ENSCAFG00000003190	ENSMICG00000001656	ENSOGAG00000000997	ENSGGOG00000000897
ENSG00000138136	ENSMUSG00000025216	ENSRNOG00000025520	ENSOCUG00000013145	ENSCPOG00000025830	ENSSTOG00000006491	ENSMLUG00000011742	ENSPVAG00000001728	ENSECAG00000011170	ENSCAFG00000029111	ENSMICG00000000021	ENSOGAG00000008679	ENSGGOG00000012521
ENSG00000185009	ENSMUSG00000021824	ENSRNOG00000011461	ENSOCUG00000009946	ENSCPOG00000005068	ENSSTOG00000012881	ENSMLUG00000003703	ENSPVAG00000013521	ENSECAG00000008103	ENSCAFG00000015334	ENSMICG00000011748	ENSOGAG00000016705	ENSGGOG00000011120
ENSG00000166167	ENSMUSG00000025217	ENSRNOG00000016280	ENSOCUG00000015353	ENSCPOG00000005488	ENSSTOG00000022481	ENSMLUG00000004932	ENSPVAG00000006474	ENSECAG00000022888	ENSCAFG00000009879	ENSMICG00000007365	ENSOGAG00000014623	ENSGGOG00000005023
ENSG00000143552	ENSMUSG00000027939	ENSRNOG00000017070	ENSOCUG00000011794	ENSCPOG00000007264	ENSSTOG00000014542	ENSMLUG00000013302	ENSPVAG00000011097	ENSECAG00000002401	ENSCAFG00000017362	ENSMICG00000010354	ENSOGAG00000003072	ENSGGOG00000014209
ENSG00000163611	ENSMUSG00000043065	ENSRNOG00000039024	ENSOCUG00000011630	ENSCPOG00000014284	ENSSTOG00000000683	ENSMLUG00000004243	ENSPVAG00000017230	ENSECAG00000014542	ENSCAFG00000010629	ENSMICG00000011806	ENSOGAG00000011166	ENSGGOG00000028236
ENSG00000158859	ENSMUSG00000006403	ENSRNOG00000003538	ENSOCUG00000013498	ENSCPOG00000014372	ENSSTOG00000006479	ENSMLUG00000004565	ENSPVAG00000005530	ENSECAG00000024172	ENSCAFG00000012836	ENSMICG00000017913	ENSOGAG00000013712	ENSGGOG00000007720
ENSG00000158864	ENSMUSG00000013593	ENSRNOG00000038372	ENSOCUG00000013512	ENSCPOG00000012481	ENSSTOG00000006508	ENSMLUG00000004570	ENSPVAG00000005536	ENSECAG00000009102	ENSCAFG00000012850	ENSMICG00000007269	ENSOGAG00000013717	ENSGGOG00000007729
ENSG00000156110	ENSMUSG00000039197	ENSRNOG00000012325	ENSOCUG00000009950	ENSCPOG00000004488	ENSSTOG00000011843	ENSMLUG00000003709	ENSPVAG00000013522	ENSECAG00000008160	ENSCAFG00000015340	ENSMICG00000011753	ENSOGAG00000016708	ENSGGOG00000005390
ENSG00000167880	ENSMUSG00000034282	ENSRNOG00000009343	ENSOCUG00000014548	ENSCPOG00000011545	ENSSTOG00000022668	ENSMLUG00000001224	ENSPVAG00000008481	ENSECAG00000010028	ENSCAFG00000005021	ENSMICG00000007705	ENSOGAG00000032503	ENSGGOG00000013873
ENSG00000080802	ENSMUSG00000038784	ENSRNOG00000010795	ENSOCUG00000013448	ENSCPOG00000011526	ENSSTOG00000007717	ENSMLUG00000008260	ENSPVAG00000004905	ENSECAG00000020262	ENSCAFG00000003223	ENSMICG00000001667	ENSOGAG00000015499	ENSGGOG00000000142
ENSG00000156261	ENSMUSG00000025613	ENSRNOG00000001592	ENSOCUG00000002641	ENSCPOG00000009404	ENSSTOG00000007020	ENSMLUG00000000366	ENSPVAG00000003582	ENSECAG00000011457	ENSCAFG00000008687	ENSMICG00000002601	ENSOGAG00000004672	ENSGGOG00000006344
ENSG00000102104	ENSMUSG00000031293	ENSRNOG00000030434	ENSOCUG00000010796	ENSCPOG00000007446	ENSSTOG00000014568	ENSMLUG00000006836	ENSPVAG00000006901	ENSECAG00000012117	ENSCAFG00000012835	ENSMICG00000004198	ENSOGAG00000002430	ENSGGOG00000023949
ENSG00000086717	ENSMUSG00000062168	ENSRNOG00000027331	ENSOCUG00000010801	ENSCPOG00000006617	ENSSTOG00000005660	ENSMLUG00000005487	ENSPVAG00000003289	ENSECAG00000013892	ENSCAFG00000012847	ENSMICG00000004203	ENSOGAG00000002431	ENSGGOG00000003393
ENSG00000173674	ENSMUSG00000067194	ENSRNOG00000005736	ENSOCUG00000010188	ENSCPOG00000025310	ENSSTOG00000026117	ENSMLUG00000029101	ENSPVAG00000003521	ENSECAG00000006469	ENSCAFG00000032071	ENSMICG00000004110	ENSOGAG00000024358	ENSGGOG00000012186
ENSG00000158623	ENSMUSG00000025607	ENSRNOG00000011014	ENSOCUG00000022849	ENSCPOG00000023577	ENSSTOG00000021021	ENSMLUG00000027742	ENSPVAG00000008144	ENSECAG00000013579	ENSCAFG00000001426	ENSMICG00000003013	ENSOGAG00000026001	ENSGGOG00000008981
ENSG00000156650	ENSMUSG00000021767	ENSRNOG00000012850	ENSOCUG00000017344	ENSCPOG00000006544	ENSSTOG00000011169	ENSMLUG00000007438	ENSPVAG00000009599	ENSECAG00000012230	ENSCAFG00000015357	ENSMICG00000000023	ENSOGAG00000015423	ENSGGOG00000008756
ENSG00000143970	ENSMUSG00000037486	ENSRNOG00000011908	ENSOCUG00000017108	ENSCPOG00000007343	ENSSTOG00000013729	ENSMLUG00000014831	ENSPVAG00000014375	ENSECAG00000010885	ENSCAFG00000004241	ENSMICG00000002893	ENSOGAG00000002435	ENSGGOG00000011013
ENSG00000177189	ENSMUSG00000031309	ENSRNOG00000006632	ENSOCUG00000025948	ENSCPOG00000008719	ENSSTOG00000010494	ENSMLUG00000012980	ENSPVAG00000003522	ENSECAG00000011322	ENSCAFG00000013171	ENSMICG00000004112	ENSOGAG00000008184	ENSGGOG00000008837
ENSG00000189184	ENSMUSG00000037892	ENSRNOG00000009949	ENSOCUG00000009057	ENSCPOG00000003047	ENSSTOG00000021466	ENSMLUG00000015992	ENSPVAG00000010426	ENSECAG00000022715	ENSCAFG00000003758	ENSMICG00000005208	ENSOGAG00000030608	ENSGGOG00000014444
ENSG00000136535	ENSMUSG00000035033	ENSRNOG00000005049	ENSOCUG00000005884	ENSCPOG00000005881	ENSSTOG00000023843	ENSMLUG00000006008	ENSPVAG00000005416	ENSECAG00000011159	ENSCAFG00000009984	ENSMICG00000009721	ENSOGAG00000004936	ENSGGOG00000015752
ENSG00000162542	ENSMUSG00000041143	ENSRNOG00000017401	ENSOCUG00000008690	ENSCPOG00000006823	ENSSTOG00000026048	ENSMLUG00000013691	ENSPVAG00000009241	ENSECAG00000020925	ENSCAFG00000015128	ENSMICG00000014270	ENSOGAG00000013357	ENSGGOG00000005281
ENSG00000166169	ENSMUSG00000025218	ENSRNOG00000016748	ENSOCUG00000015364	ENSCPOG00000005493	ENSSTOG00000011485	ENSMLUG00000004944	ENSPVAG00000006478	ENSECAG00000015282	ENSCAFG00000009897	ENSMICG00000007375	ENSOGAG00000012042	ENSGGOG00000005029
ENSG00000151012	ENSMUSG00000027737	ENSRNOG00000010210	ENSOCUG00000001662	ENSCPOG00000013036	ENSSTOG00000009749	ENSMLUG00000008864	ENSPVAG00000017839	ENSECAG00000022696	ENSCAFG00000003749	ENSMICG00000005805	ENSOGAG00000012756	ENSGGOG00000005762
ENSG00000114113	ENSMUSG00000032454	ENSRNOG00000013932	ENSOCUG00000008146	ENSCPOG00000004129	ENSSTOG00000027268	ENSMLUG00000004818	ENSPVAG00000001154	ENSECAG00000020170	ENSCAFG00000007612	ENSMICG00000001421	ENSOGAG00000010271	ENSGGOG00000010274
ENSG00000175766	ENSMUSG00000074895	ENSRNOG00000025480	ENSOCUG00000007864	ENSCPOG00000004429	ENSSTOG00000002002	ENSMLUG00000001437	ENSPVAG00000017039	ENSECAG00000022357	ENSCAFG00000016643	ENSMICG00000013548	ENSOGAG00000005844	ENSGGOG00000015854
ENSG00000144290	ENSMUSG00000026904	ENSRNOG00000005307	ENSOCUG00000008246	ENSCPOG00000012631	ENSSTOG00000004841	ENSMLUG00000006413	ENSPVAG00000002629	ENSECAG00000013465	ENSCAFG00000010242	ENSMICG00000007690	ENSOGAG00000012595	ENSGGOG00000014910
ENSG00000114115	ENSMUSG00000046402	ENSRNOG00000013794	ENSOCUG00000023550	ENSCPOG00000020419	ENSSTOG00000005673	ENSMLUG00000004824	ENSPVAG00000001155	ENSECAG00000020368	ENSCAFG00000032569	ENSMICG00000004732	ENSOGAG00000004262	ENSGGOG00000012301
ENSG00000011198	ENSMUSG00000032540	ENSRNOG00000000221	ENSOCUG00000006495	ENSCPOG00000005645	ENSSTOG00000002083	ENSMLUG00000001034	ENSPVAG00000016238	ENSECAG00000022063	ENSCAFG00000004453	ENSMICG00000012063	ENSOGAG00000014017	ENSGGOG00000004874
ENSG00000048140	ENSMUSG00000025875	ENSRNOG00000018122	ENSOCUG00000016785	ENSCPOG00000027369	ENSSTOG00000002014	ENSMLUG00000000338	ENSPVAG00000017040	ENSECAG00000022322	ENSCAFG00000016638	ENSMICG00000008380	ENSOGAG00000024115	ENSGGOG00000015858
ENSG00000129465	ENSMUSG00000022221	ENSRNOG00000020465	ENSOCUG00000002969	ENSCPOG00000026565	ENSSTOG00000002445	ENSMLUG00000014823	ENSPVAG00000007041	ENSECAG00000008781	ENSCAFG00000012367	ENSMICG00000001781	ENSOGAG00000006086	ENSGGOG00000004710
